row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,intent_label,predicted_intent
25,followers_count,1,,,0.9539648928275585,0.9941815174338837,2,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
35,followers_count,0,,,0.9519420485366106,0.9998130438847984,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
67,followers_count,0,,,0.7698100883430546,0.6969909002414888,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
76,followers_count,0,,,0.9519420485366106,0.9895353250996299,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
78,followers_count,1,,,0.9535140375205983,0.9953011614614696,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
136,followers_count,0,,,0.6769091740829155,0.0,3,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,1.0
167,followers_count,0,,,0.9519420485366106,0.9998383781458837,2,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
168,followers_count,1,,,0.9522289274234848,0.9991596959044389,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
185,followers_count,1,,,0.9534890609797905,0.9953625041012081,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
187,followers_count,1,,,0.9542134445418377,0.9971719605811604,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
203,followers_count,1,,,0.953633618299095,0.9973318347162063,3,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
243,followers_count,1,,,0.9519909795602903,0.9999956805276485,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
322,followers_count,1,,,0.9526539757675644,0.9982195763532884,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
381,followers_count,1,,,0.952649568142716,0.9979923345469721,3,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,1.0
391,followers_count,1,,,0.952172522601149,0.9997747435412241,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
395,followers_count,1,,,0.9527842881543876,0.9978865630487614,2,1,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
430,followers_count,1,,,0.9527690211639707,0.9975489926434129,2,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
442,followers_count,0,,,0.9519420485366106,0.9999475645951726,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
443,followers_count,1,,,0.9537956144819302,0.9948578962122556,1,0,0.9975618303923931,1.0,0.5,1.0,0,0,-1,-1.0
