feature,importance
h7_gain_direction,0.22428082918057612
h1_plausible,0.15638727425614143
h3_distribution_score,0.1483539968298112
h6_column_importance,0.12883691830834487
h5_error_count,0.0981947222498815
h4_coherence_score,0.08114107397042121
h2_is_obfuscation,0.05493163073524879
h5_codependent_flag,0.0431592622455977
h7_comprehensibility,0.02683820074560378
h2_min_edit_distance,0.020610780525622076
h7_mutability,0.00827977372687283
h8_is_sensitive,0.00596423971349058
h8_is_majority_value,0.0030212975123879784
