row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value
92,followers_count,0,,,0.9509922096633139,0.9563601949722387,3,1,1.0,1.0,0.5,1.0,0,0
97,followers_count,0,,,0.9509922096633139,0.9997478282541551,1,0,1.0,1.0,0.5,1.0,0,0
100,followers_count,0,,,0.9509922096633139,0.9999959871782251,1,0,1.0,1.0,0.5,1.0,0,0
118,followers_count,0,,,0.9509922096633139,0.9986701031618451,1,0,1.0,1.0,0.5,1.0,0,0
165,followers_count,0,,,0.9509922096633139,0.996099679503751,1,0,1.0,1.0,0.5,1.0,0,0
175,followers_count,0,,,0.9509922096633139,0.9999988200044416,1,0,1.0,1.0,0.5,1.0,0,0
219,followers_count,0,,,0.9509922096633139,0.9999964516445619,1,0,1.0,1.0,0.5,1.0,0,0
257,followers_count,0,,,0.9509922096633139,0.9988640785310002,1,0,1.0,1.0,0.5,1.0,0,0
310,followers_count,0,,,0.9509922096633139,0.9999876769967392,1,0,1.0,1.0,0.5,1.0,0,0
320,followers_count,0,,,0.9509922096633139,0.999909671758441,3,1,1.0,1.0,0.5,1.0,0,0
376,followers_count,0,,,0.9509922096633139,0.999757050630789,1,0,1.0,1.0,0.5,1.0,0,0
396,followers_count,0,,,0.9509922096633139,0.9981102036381372,1,0,1.0,1.0,0.5,1.0,0,0
520,followers_count,0,,,0.9509922096633139,0.9991215518880951,1,0,1.0,1.0,0.5,1.0,0,0
525,followers_count,0,,,0.9509922096633139,0.999926354887134,1,0,1.0,1.0,0.5,1.0,0,0
567,followers_count,0,,,0.9509922096633139,0.9999672865061144,1,0,1.0,1.0,0.5,1.0,0,0
573,followers_count,0,,,0.9509922096633139,0.9995843319192111,1,0,1.0,1.0,0.5,1.0,0,0
581,followers_count,1,,,0.9595197000239233,0.7237702703846776,1,0,1.0,1.0,0.5,1.0,0,0
586,followers_count,0,,,0.9509922096633139,0.9998766444359495,1,0,1.0,1.0,0.5,1.0,0,0
631,followers_count,0,,,0.5012298616641295,0.0,1,0,1.0,1.0,0.5,1.0,0,0
668,followers_count,0,,,0.9509922096633139,0.9982629293753245,1,0,1.0,1.0,0.5,1.0,0,0
672,followers_count,0,,,0.9509922096633139,0.9999693996187279,2,1,1.0,1.0,0.5,1.0,0,0
761,followers_count,0,,,0.9509922096633139,0.9999757431409497,1,0,1.0,1.0,0.5,1.0,0,0
766,followers_count,0,,,0.9509922096633139,0.999996665048014,1,0,1.0,1.0,0.5,1.0,0,0
795,followers_count,0,,,0.9509922096633139,0.9999954850524555,1,0,1.0,1.0,0.5,1.0,0,0
804,followers_count,0,,,0.9509922096633139,0.9325171252155331,1,0,1.0,1.0,0.5,1.0,0,0
817,followers_count,0,,,0.8011743414009578,0.0,1,0,1.0,1.0,0.5,1.0,0,0
826,followers_count,0,,,0.9509922096633139,0.9999007841323201,1,0,1.0,1.0,0.5,1.0,0,0
951,followers_count,0,,,0.9509922096633139,0.9994166553872358,1,0,1.0,1.0,0.5,1.0,0,0
953,followers_count,0,,,0.9133001415744926,0.06986546739796173,1,0,1.0,1.0,0.5,1.0,0,0
987,followers_count,0,,,0.9509922096633139,0.9954352876074015,1,0,1.0,1.0,0.5,1.0,0,0
998,followers_count,0,,,0.9509922096633139,0.9990119922295628,1,0,1.0,1.0,0.5,1.0,0,0
1009,followers_count,0,,,0.9509922096633139,0.9999795718499425,1,0,1.0,1.0,0.5,1.0,0,0
1053,followers_count,0,,,0.0,0.0,2,1,1.0,1.0,0.5,1.0,0,0
1086,followers_count,0,,,0.9509922096633139,0.9973100327493224,1,0,1.0,1.0,0.5,1.0,0,0
1129,followers_count,0,,,0.0,0.0,1,0,1.0,1.0,0.5,1.0,0,0
1151,followers_count,0,,,0.9509922096633139,0.9997750267333386,1,0,1.0,1.0,0.5,1.0,0,0
1159,followers_count,0,,,0.9509922096633139,0.9998497263103207,1,0,1.0,1.0,0.5,1.0,0,0
1168,followers_count,0,,,0.9509922096633139,0.9999645750269589,3,1,1.0,1.0,0.5,1.0,0,0
1183,followers_count,0,,,0.9509922096633139,0.9999992384425829,1,0,1.0,1.0,0.5,1.0,0,0
1291,followers_count,0,,,0.9509922096633139,0.9870807809691927,1,0,1.0,1.0,0.5,1.0,0,0
1294,followers_count,0,,,0.9509922096633139,0.9998986459134181,1,0,1.0,1.0,0.5,1.0,0,0
1297,followers_count,1,,,0.9509927675808356,0.9999995397180446,2,1,1.0,1.0,0.5,1.0,0,0
1421,followers_count,0,,,0.9509922096633139,0.9967946801501354,1,0,1.0,1.0,0.5,1.0,0,0
1441,followers_count,1,,,0.9572077595536383,0.9665509755496586,1,0,1.0,1.0,0.5,1.0,0,0
1448,followers_count,1,,,0.9509927675808356,0.9999914722306806,2,1,1.0,1.0,0.5,1.0,0,0
1461,followers_count,0,,,0.9509922096633139,0.9951792202024613,1,0,1.0,1.0,0.5,1.0,0,0
1474,followers_count,0,,,0.9509922096633139,0.9998691167337878,1,0,1.0,1.0,0.5,1.0,0,0
1498,followers_count,0,,,0.9509922096633139,0.9989656878648483,1,0,1.0,1.0,0.5,1.0,0,0
1500,followers_count,0,,,0.9509922096633139,0.9999720441477808,1,0,1.0,1.0,0.5,1.0,0,0
1536,followers_count,1,,,0.9509927675808356,0.9999977236965114,2,1,1.0,1.0,0.5,1.0,0,0
1554,followers_count,0,,,0.9509922096633139,0.9987352414272989,1,0,1.0,1.0,0.5,1.0,0,0
1560,followers_count,0,,,0.9509922096633139,0.9993439894196204,1,0,1.0,1.0,0.5,1.0,0,0
1587,followers_count,0,,,0.9509922096633139,0.9997766000607499,1,0,1.0,1.0,0.5,1.0,0,0
1635,followers_count,0,,,0.9509922096633139,0.999602077880783,1,0,1.0,1.0,0.5,1.0,0,0
1696,followers_count,1,,,0.9558682693236977,0.9648151644237883,2,1,1.0,1.0,0.5,1.0,0,0
1720,followers_count,0,,,0.9509922096633139,0.9953196982552531,1,0,1.0,1.0,0.5,1.0,0,0
1723,followers_count,0,,,0.9509922096633139,0.9996728566923813,1,0,1.0,1.0,0.5,1.0,0,0
