row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,intent_label,predicted_intent
68,age,1,,,0.7662577840363072,0.40212157794460823,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
72,age,1,,,0.9907022069980864,0.9985417599462061,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
100,age,1,,,0.6261421935496769,0.0,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
152,age,0,,,0.18867017741158554,0.5698191841308764,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
170,age,1,,,0.9849937921053529,0.4006633378908149,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
188,age,1,,,0.9849937921053529,0.8323023938137318,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
205,age,1,,,0.6990541962393588,0.7010607889723042,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
217,age,1,,,0.6933457813466253,0.9270879973103181,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
262,age,1,,,0.5718257768638222,0.26358877283421267,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
281,age,1,,,0.7662577840363072,0.0,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
302,age,1,,,0.9606897912087923,0.7346003102095578,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
314,age,1,,,0.9363857903122317,0.6179411059060667,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
384,age,1,,,0.9177902043084045,0.6835619083267803,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
403,age,1,,,0.7662577840363072,0.2067174107362607,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
426,age,1,,,0.45601418727375254,0.0,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
487,age,1,,,0.6690417804500647,0.8731331153199536,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
591,age,1,,,0.8634737876225498,0.6500223870895271,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
599,age,1,,,0.6204337786569434,0.9839593594082701,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
617,age,1,,,0.8877777885191104,0.25046461235007,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
634,age,1,,,0.8148657858294285,0.1396383682617538,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
663,age,1,,,0.5718257768638222,0.4064962981059893,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
667,age,1,,,0.6690417804500647,0.2942118139638793,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
701,age,1,,,0.9849937921053529,0.943128637902048,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
784,age,1,,,0.8934862034118439,0.38462269729908494,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
832,age,1,,,0.6933457813466253,0.0,3,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
838,age,1,,,0.45601418727375254,0.547945583323972,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
873,age,1,,,0.6261421935496769,0.6631465475736698,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
899,age,1,,,0.9849937921053529,0.88771551585789,2,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
903,age,0,,,0.4989137741741403,0.49690718144119506,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
944,age,1,,,0.5718257768638222,0.9183385569875562,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
945,age,1,,,0.9363857903122317,0.6223158260674477,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
949,age,1,,,0.9177902043084045,0.31754365482457747,1,0,0.11664145071594606,1.0,0.5,0.0,1,0,-1,-1.0
