row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
0,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.8277620927245135,5,0,0.0,1.0,0.5,1.0,0,0,63.0,0.21649484536082475,-1.0,290.0,227.0,5.673323267171493,5.429345628954441,0.0,213.0,143.0,1,1.0
0,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.5847183341202472,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
0,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.34318110403122215,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,290.0,290.0,5.673323267171493,5.673323267171493,2.0,213.0,213.0,1,1.0
0,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9998691205561968,5,0,0.0,1.0,0.5,0.8,0,0,26.0,0.13756613756613756,1.0,188.0,214.0,5.241747015059643,5.3706380281276624,3.0,192.0,247.0,1,1.0
0,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,3.0,3.0,1.3862943611198906,1.3862943611198906,4.0,3.0,3.0,1,1.0
1,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.6557484535574585,5,0,0.0,1.0,0.5,1.0,0,0,470.0,0.8952380952380953,-1.0,524.0,54.0,6.263398262591624,4.007333185232471,0.0,473.0,490.0,1,1.0
1,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.3904736839506854,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0
1,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.7816421385117085,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,290.0,290.0,5.673323267171493,5.673323267171493,2.0,213.0,213.0,1,1.0
1,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9995716467701923,5,0,0.0,1.0,0.5,0.8,0,0,0.0,0.0,0.0,17000.0,17000.0,9.741027444837728,9.741027444837728,3.0,157.0,157.0,1,1.0
1,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,0.0,0.0,0.0,3.0,3.0,1.3862943611198906,1.3862943611198906,4.0,3.0,3.0,1,1.0
