row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,intent_label,predicted_intent
20,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
24,title,0,10.0,0.0,0.0,0.5,3,1,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
32,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
75,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
76,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
100,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
109,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
113,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
123,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
127,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
135,title,0,10.0,0.0,0.0,0.5,2,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
138,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
143,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
148,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
170,title,0,10.0,0.0,0.0,0.5,1,0,0.8083201855604478,1.0,0.5,0.8,0,0,-1,-1.0
