user_id,followers_count,friends_count,favourites_count,statuses_count,listed_count,verified,protected,default_profile,default_profile_image,geo_enabled,profile_use_background_image,has_created_date,description_length,screen_name_length,name_length,has_description,has_location,label
u1074567048,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u831581366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u2575517041,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
u866669766236393473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u312952956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1196482510328356866,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u4880799946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u107817424,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u1294881559258963968,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u221345390,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u947347279375228929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1149786250523611142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u916386665844957185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1118569303584968705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u761167885720956929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1117465040687370246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1638335384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1278225809824677888,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
u903179792312397826,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u113474363,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
u344167007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u2225640630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u28627493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u15524929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u205392468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1236293121941491713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u3322886197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u709423935809576960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u294712456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1014392576118546432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u249655147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u255569165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u485307941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u229932742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u5639052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u34206371,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
u780812734476668928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u778341409313042432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1079877050331160576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u1278610089226764293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u2831549250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u370626967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
